,Count,param,ground_state,nbarx,cost
54,55,"[44.87591808  0.60276537  0.60858833 44.15118597 41.71926516  0.64325186
  0.13112883  0.14842412  0.78716444]",0.07085828343313375,25.04989154013015,-1.0762620837808807
55,56,"[2.51638278e+01 4.87470286e-01 1.00000000e-02 3.10940049e+01
 4.20932077e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 8.63945156e-01]",0.8253493013972055,0.482,-5.725714285714283
56,57,"[2.87329424e+01 6.13537672e-01 1.00000000e-02 3.16018433e+01
 3.80760875e+01 1.00000000e+00 9.93239596e-01 1.00000000e+00
 9.69777416e-01]",0.8529411764705882,0.12,-6.799999999999999
57,58,"[2.72979277e+01 4.44541575e-01 1.00000000e-02 2.93125823e+01
 4.24360046e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8725490196078431,0.28,-7.846153846153847
58,59,"[17.65589977  0.4767827   0.8258932  17.91800182 15.97226572  0.30313001
  0.56333945  0.74631501  0.84415835]",0.06862745098039215,22.142857142857142,-1.0736842105263158
59,60,"[2.36277064e+01 5.57181424e-01 1.00000000e-02 3.09927433e+01
 4.01425059e+01 8.63618981e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.2,-6.799999999999999
60,61,"[2.64974569e+01 4.75904339e-01 1.00000000e-02 2.82208025e+01
 4.28031817e+01 9.71837900e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8333333333333333,0.061224489795918366,-5.999999999999997
61,62,"[2.30559195e+01 5.29640821e-01 1.00000000e-02 3.28817254e+01
 3.86352850e+01 9.00443489e-01 1.00000000e+00 9.92720510e-01
 1.00000000e+00]",0.8137254901960784,0.14,-5.368421052631579
62,63,"[1.56475961e+01 1.42432558e-02 5.51233482e-01 2.88039979e+01
 4.09749152e+01 6.99616957e-01 6.72674695e-01 1.05407805e-01
 1.74544960e-01]",0.00980392156862745,29.666666666666668,-1.00990099009901
63,64,"[2.68795993e+01 5.32479510e-01 1.77899536e-02 2.94334999e+01
 4.09000003e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.12,-6.799999999999999
64,65,"[2.69416503e+01 6.56276772e-01 1.00000000e-02 3.00287821e+01
 3.70505033e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8921568627450981,0.12,-9.272727272727277
65,66,"[2.44468376e+01 6.11703618e-01 1.00000000e-02 3.10566628e+01
 3.78668373e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8137254901960784,0.2,-5.368421052631579
66,67,"[14.44612191  0.39457797  0.10102186 43.94444922 43.21471956  0.10474833
  0.99516608  0.75375017  0.23124646]",0.6372549019607843,3.4,-2.7567567567567566
67,68,"[3.11623846e+01 7.89005211e-01 1.00000000e-02 2.77964312e+01
 3.28976153e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.7941176470588236,0.26,-4.8571428571428585
68,69,"[2.96967406e+01 6.65076194e-01 1.00000000e-02 2.91640042e+01
 3.68260919e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.9313725490196078,0.12,-14.571428571428552
69,70,"[2.80728033e+01 7.24391163e-01 1.00000000e-02 2.85850348e+01
 3.65580359e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.9117647058823529,0.04,-11.33333333333333
70,71,"[16.57594047  0.94980884  0.05196806 32.46235173 43.51239015  0.20458417
  0.57648456  0.75828622  0.15499691]",0.5588235294117647,1.7,-2.2666666666666666
71,72,"[2.99946887e+01 6.61342769e-01 1.00000000e-02 2.84552655e+01
 3.60219456e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.64,-6.799999999999999
72,73,"[3.23334571e+01 6.79775614e-01 1.00000000e-02 2.95359838e+01
 3.78476149e+01 1.00000000e+00 9.76432107e-01 1.00000000e+00
 1.00000000e+00]",0.9117647058823529,0.0,-11.33333333333333
73,74,"[3.04531952e+01 6.66061649e-01 1.00000000e-02 2.79858923e+01
 3.61301357e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.7941176470588236,0.14,-4.8571428571428585
74,75,"[44.44405253  0.63327005  0.99166988 38.51179364 27.86659736  0.70782366
  0.52223381  0.24751579  0.74200632]",0.08823529411764705,39.958333333333336,-1.096774193548387
75,76,"[2.96926069e+01 7.00301564e-01 1.00000000e-02 2.99566694e+01
 3.65215897e+01 1.00000000e+00 1.00000000e+00 9.92453612e-01
 1.00000000e+00]",0.7549019607843137,0.44,-4.08
76,77,"[2.95604960e+01 6.73765176e-01 1.00000000e-02 2.92575995e+01
 3.76130459e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.26,-6.799999999999999
77,78,"[2.96659230e+01 6.71441605e-01 1.00000000e-02 2.91704085e+01
 3.70262387e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8921568627450981,0.16,-9.272727272727277
78,79,"[25.1989308   0.21493421  0.32179381 29.30749573 37.80633327  0.19162134
  0.9559422   0.69214835  0.47598192]",0.3823529411764706,1.44,-1.619047619047619
79,80,"[2.93789976e+01 6.55707873e-01 1.00000000e-02 2.97089789e+01
 3.60559404e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8333333333333333,0.08,-5.999999999999997
80,81,"[2.87361378e+01 6.83570627e-01 1.00000000e-02 2.84628455e+01
 3.69120634e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.7941176470588236,0.24,-4.8571428571428585
81,82,"[3.04516945e+01 6.97505549e-01 1.00000000e-02 2.81974405e+01
 3.67793772e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8137254901960784,0.5,-5.368421052631579
82,83,"[10.16801562  0.69160705  0.91276465 49.81459703 35.05701521  0.35938694
  0.99173061  0.78055986  0.56886561]",0.6764705882352942,0.56,-3.0909090909090913
83,84,"[2.67441243e+01 6.38165144e-01 1.00000000e-02 2.90411532e+01
 3.89255619e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.7941176470588236,0.66,-4.8571428571428585
84,85,"[3.44931049e+01 5.78228292e-01 1.00000000e-02 2.98377284e+01
 3.89586523e+01 9.95363736e-01 1.00000000e+00 1.00000000e+00
 9.65621510e-01]",0.7549019607843137,0.48,-4.08
85,86,"[5.00000000e+01 8.77759663e-01 1.00000000e-02 2.98642334e+01
 5.00000000e+01 6.44764096e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.7549019607843137,0.18,-4.08
86,87,"[14.87324313  0.2459961   0.2364415  28.39361758 19.06458922  0.81334221
  0.39368254  0.95619001  0.13408268]",0.24509803921568626,19.62,-1.3246753246753247
87,88,"[3.27714013e+01 7.41486403e-01 1.00000000e-02 2.96755660e+01
 3.77998943e+01 1.00000000e+00 9.93886345e-01 1.00000000e+00
 1.00000000e+00]",0.8333333333333333,0.22,-5.999999999999997
88,89,"[3.09126182e+01 7.36073756e-01 1.00000000e-02 2.93774998e+01
 3.78691848e+01 9.81715926e-01 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8725490196078431,0.06,-7.846153846153847
89,90,"[3.16272690e+01 6.38184138e-01 1.00000000e-02 2.96162197e+01
 3.70524900e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8921568627450981,0.1,-9.272727272727277
90,91,"[22.20479268  0.67152697  0.82135602 33.19981394 39.08807672  0.3521113
  0.65095166  0.91010811  0.24606697]",0.2843137254901961,5.469387755102041,-1.397260273972603
91,92,"[2.98928340e+01 6.48818751e-01 1.00000000e-02 2.92352963e+01
 3.58817568e+01 1.00000000e+00 9.66028652e-01 1.00000000e+00
 1.00000000e+00]",0.7352941176470588,0.48,-3.777777777777777
92,93,"[2.96389513e+01 6.82231334e-01 1.00000000e-02 2.91748936e+01
 3.68143672e+01 9.70092257e-01 9.76726015e-01 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.1,-6.799999999999999
93,94,"[3.06086594e+01 6.48888943e-01 1.00000000e-02 2.93510219e+01
 3.64132468e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.32,-6.799999999999999
94,95,"[32.6598238   0.76565255  0.31024883 30.89823527 18.56610117  0.80843725
  0.44950286  0.7613754   0.91954964]",0.3627450980392157,2.26,-1.5692307692307694
95,96,"[2.58005532e+01 1.00000000e+00 1.00000000e-02 2.42405265e+01
 3.89345027e+01 1.00000000e+00 6.62082472e-01 1.00000000e+00
 1.00000000e+00]",0.9117647058823529,0.08,-11.33333333333333
96,97,"[2.70321505e+01 7.46747279e-01 1.00000000e-02 2.83373920e+01
 3.65012403e+01 1.00000000e+00 1.00000000e+00 1.00000000e+00
 1.00000000e+00]",0.8921568627450981,0.08,-9.272727272727277
97,98,"[3.23904040e+01 6.68624169e-01 1.00000000e-02 2.93137454e+01
 3.82681899e+01 1.00000000e+00 9.99823147e-01 1.00000000e+00
 1.00000000e+00]",0.8529411764705882,0.38,-6.799999999999999
98,99,"[11.48016507  0.80511851  0.72392901 40.78347191 21.19853255  0.19546889
  0.35568239  0.08532482  0.42690947]",0.029411764705882353,29.56,-1.0303030303030303
99,100,"[2.76098101e+01 7.62613664e-01 1.00000000e-02 2.99770894e+01
 3.67962310e+01 1.00000000e+00 1.00000000e+00 8.51955476e-01
 1.00000000e+00]",0.9313725490196078,0.12,-14.571428571428552
